id,dam,lake,stream,capacity,elevation,river_basin,county,hydrologic_area,nearby_city,latitude,longitude,operator
SHA,Shasta,Lake Shasta,Sacramento River,4552100,1067' ft,SACRAMENTO R,SHASTA,SACRAMENTO RIVER,REDDING,40.718,-122.42,US Bureau of Reclamation
CSI,Casitas,Lake Casitas,Casitas Creek,254000,335' ft,VENTURA R,VENTURA,SOUTH COAST,CASITAS SPRINGS,34.373,-119.332,US Bureau of Reclamation
DMV,Diamond Valley,Diamond Valley Lake,Domenigoni Valley Creek,800000,1756' ft,SANTA MARGARITA R,RIVERSIDE,SOUTH COAST,WINCHESTER,33.67,-117.066,Metropolitan Water District
TAH,Lake Tahoe,Lake Tahoe,Truckee River,732000,6221' ft,TRUCKEE R,PLACER,NORTH LAHONTAN,TAHOE CITY,39.181,-120.118,US Bureau of Reclamation
CRW,Long Valley,Lake Crowley,Owens River,183200,6797' ft,OWENS R,MONO,SOUTH LAHONTAN,MAMMOTH LAKES,37.604,-118.707,City of Los Angeles; Dept of Water and Power
ATN,James H Turner,Lake San Antonio,Salinas River Tributary,330000,779' ft,SALINAS R,MONTEREY,CENTRAL COAST,BRADLEY,35.798,-120.883,Monterey County
